"Parent ID","Parent SKU","Product ID","Product SKU","Product Name","Post Title","Slug","Permalink","Product URI","Description","Excerpt","Product Published","Product Modified","Type","Visibility","Featured","Virtual","Downloadable","Price","Sale Price","Sale Price Dates From","Sale Price Dates To","Weight","Weight Unit","Height","Height Unit","Width","Width Unit","Length","Length Unit","Category","Tag","Featured Image","Product Gallery","Tax Status","Tax Class","Shipping Class","Download File Name","Download File URL Path","Download Limit","Download Expiry","Download Type","Manage Stock","Quantity","Stock Status","Allow Backorders","Sold Individually","Up-Sells","Cross-Sells","External URL","Button Text","Purchase Note","Product Status","Enable Reviews","Sort Order","Post Author","Username","User Role"
"","","1702","sku_014","Half Sleeve T-Shirt (American Eagle)","Half Sleeve T-Shirt (American Eagle)","half-sleeve-t-shirt-american-eagle","http://unihawker.com/product/half-sleeve-t-shirt-american-eagle/","http://unihawker.com/product/half-sleeve-t-shirt-american-eagle/","<span style=""font-weight: 400;"">100% cotton; GSM 170+</span>","","08/04/2019","08/04/2019","Simple Product","Shop and search results","Yes","No","No","3.29","","","","","","","","","","","","Clothing","","http://unihawker.com/wp-content/uploads/2019/04/1-22.jpg",,"Taxable","","","","","-1","-1","Standard","yes","1000","In Stock","No","No","","","","","","Publish","Open","0","1","debashish","Administrator"
"","","1698","sku_013","Half Sleeve Polo T-Shirt (American Eagle)","Half Sleeve Polo T-Shirt (American Eagle)","half-sleeve-polo-t-shirt-american-eagle-3","http://unihawker.com/product/half-sleeve-polo-t-shirt-american-eagle-3/","http://unihawker.com/product/half-sleeve-polo-t-shirt-american-eagle-3/","<span style=""font-weight: 400;"">100% cotton, GSM 220+</span>","","08/04/2019","08/04/2019","Simple Product","Shop and search results","Yes","No","No","5.49","","","","","","","","","","","","Clothing","","http://unihawker.com/wp-content/uploads/2019/04/1-20.jpg",,"Taxable","","","","","-1","-1","Standard","yes","1000","In Stock","No","No","","","","","","Publish","Open","0","1","debashish","Administrator"
"","","1696","sku_012","Half Sleeve Polo T-Shirt (American Eagle)","Half Sleeve Polo T-Shirt (American Eagle)","half-sleeve-polo-t-shirt-american-eagle-2","http://unihawker.com/product/half-sleeve-polo-t-shirt-american-eagle-2/","http://unihawker.com/product/half-sleeve-polo-t-shirt-american-eagle-2/","<span style=""font-weight: 400;"">100% cotton, GSM 220+</span>","","08/04/2019","08/04/2019","Simple Product","Shop and search results","Yes","No","No","5.49","","","","","","","","","","","","Clothing","","http://unihawker.com/wp-content/uploads/2019/04/1-19.jpg",,"Taxable","","","","","-1","-1","Standard","yes","1000","In Stock","No","No","","","","","","Publish","Open","0","1","debashish","Administrator"
"","","1694","sku_011","Half Sleeve Polo T-Shirt (Hugo Boss)","Half Sleeve Polo T-Shirt (Hugo Boss)","half-sleeve-polo-t-shirt-hugo-boss","http://unihawker.com/product/half-sleeve-polo-t-shirt-hugo-boss/","http://unihawker.com/product/half-sleeve-polo-t-shirt-hugo-boss/","<span style=""font-weight: 400;"">100% cotton; GSM 220+</span>","","08/04/2019","08/04/2019","Simple Product","Shop and search results","Yes","No","No","5.49","","","","","","","","","","","","Clothing","","http://unihawker.com/wp-content/uploads/2019/04/1-18.jpg",,"Taxable","","","","","-1","-1","Standard","yes","1000","In Stock","No","No","","","","","","Publish","Open","0","1","debashish","Administrator"
"","","1692","sku_010","Half Sleeve Polo T-Shirt (American Eagle)","Half Sleeve Polo T-Shirt (American Eagle)","half-sleeve-polo-t-shirt-american-eagle","http://unihawker.com/product/half-sleeve-polo-t-shirt-american-eagle/","http://unihawker.com/product/half-sleeve-polo-t-shirt-american-eagle/","<span style=""font-weight: 400;"">100% cotton; GSM 220+</span>","","08/04/2019","08/04/2019","Simple Product","Shop and search results","Yes","No","No","5.49","","","","","","","","","","","","Clothing","","http://unihawker.com/wp-content/uploads/2019/04/1-17.jpg",,"Taxable","","","","","-1","-1","Standard","yes","1000","In Stock","No","No","","","","","","Publish","Open","0","1","debashish","Administrator"
"","","1690","sku_009","Half Sleeve T-Shirt (Adidas)","Half Sleeve T-Shirt (Adidas)","half-sleeve-t-shirt-adidas-4","http://unihawker.com/product/half-sleeve-t-shirt-adidas-4/","http://unihawker.com/product/half-sleeve-t-shirt-adidas-4/","<span style=""font-weight: 400;"">100% cotton; GSM 170+</span>","","08/04/2019","08/04/2019","Simple Product","Shop and search results","Yes","No","No","3.29","","","","","","","","","","","","Clothing","","http://unihawker.com/wp-content/uploads/2019/04/1-16.jpg",,"Taxable","","","","","-1","-1","Standard","yes","1000","In Stock","No","No","","","","","","Publish","Open","0","1","debashish","Administrator"
"","","1688","sku_008","Half Sleeve T-Shirt (Adidas)","Half Sleeve T-Shirt (Adidas)","half-sleeve-t-shirt-adidas-3","http://unihawker.com/product/half-sleeve-t-shirt-adidas-3/","http://unihawker.com/product/half-sleeve-t-shirt-adidas-3/","<span style=""font-weight: 400;"">100% cotton; GSM 170+</span>","","08/04/2019","08/04/2019","Simple Product","Shop and search results","Yes","No","No","3.29","","","","","","","","","","","","Clothing","","http://unihawker.com/wp-content/uploads/2019/04/1-15.jpg",,"Taxable","","","","","-1","-1","Standard","yes","1000","In Stock","No","No","","","","","","Publish","Open","0","1","debashish","Administrator"
"","","1686","sku_007","Half Sleeve T-Shirt (Adidas)","Half Sleeve T-Shirt (Adidas)","half-sleeve-t-shirt-adidas-2","http://unihawker.com/product/half-sleeve-t-shirt-adidas-2/","http://unihawker.com/product/half-sleeve-t-shirt-adidas-2/","<span style=""font-weight: 400;"">100% cotton; GSM 170+</span>","","08/04/2019","08/04/2019","Simple Product","Shop and search results","Yes","No","No","3.29","","","","","","","","","","","","Clothing","","http://unihawker.com/wp-content/uploads/2019/04/1-14.jpg",,"Taxable","","","","","-1","-1","Standard","yes","1000","In Stock","No","No","","","","","","Publish","Open","0","1","debashish","Administrator"
"","","1684","sku_006","Half Sleeve T-Shirt (Adidas)","Half Sleeve T-Shirt (Adidas)","half-sleeve-t-shirt-adidas","http://unihawker.com/product/half-sleeve-t-shirt-adidas/","http://unihawker.com/product/half-sleeve-t-shirt-adidas/","<span style=""font-weight: 400;"">100% cotton; GSM 170+</span>","","08/04/2019","08/04/2019","Simple Product","Shop and search results","Yes","No","No","3.29","","","","","","","","","","","","Clothing","","http://unihawker.com/wp-content/uploads/2019/04/1-13.jpg",,"Taxable","","","","","-1","-1","Standard","yes","1000","In Stock","No","No","","","","","","Publish","Open","0","1","debashish","Administrator"
"","","1682","sku_005","Half Seelve T-Shirt (Armani)","Half Seelve T-Shirt (Armani)","half-seelve-t-shirt-armani-2","http://unihawker.com/product/half-seelve-t-shirt-armani-2/","http://unihawker.com/product/half-seelve-t-shirt-armani-2/","<span style=""font-weight: 400;"">100% cotton; GSM 170+</span>","","08/04/2019","08/04/2019","Simple Product","Shop and search results","Yes","No","No","3.29","","","","","","","","","","","","Clothing","","http://unihawker.com/wp-content/uploads/2019/04/1-5.jpg",,"Taxable","","","","","-1","-1","Standard","yes","1000","In Stock","No","No","","","","","","Publish","Open","0","1","debashish","Administrator"
"","","1680","sku_004","Half Seelve T-Shirt (Armani)","Half Seelve T-Shirt (Armani)","half-seelve-t-shirt-armani","http://unihawker.com/product/half-seelve-t-shirt-armani/","http://unihawker.com/product/half-seelve-t-shirt-armani/","<span style=""font-weight: 400;"">100% cotton; GSM 170+</span>","","08/04/2019","08/04/2019","Simple Product","Shop and search results","Yes","No","No","3.29","","","","","","","","","","","","Clothing","","http://unihawker.com/wp-content/uploads/2019/04/1-4.jpg",,"Taxable","","","","","-1","-1","Standard","yes","1000","In Stock","No","No","","","","","","Publish","Open","0","1","debashish","Administrator"
"","","1678","","Half Sleeve T-shirt (Armani)","Half Sleeve T-shirt (Armani)","half-sleeve-t-shirt-armani","http://unihawker.com/product/half-sleeve-t-shirt-armani/","http://unihawker.com/product/half-sleeve-t-shirt-armani/","<span style=""font-weight: 400;"">100% cotton; GSM 170+</span>","","08/04/2019","08/04/2019","Simple Product","Shop and search results","Yes","No","No","3.29","","","","","","","","","","","","Clothing","","http://unihawker.com/wp-content/uploads/2019/04/1-3.jpg",,"Taxable","","","","","-1","-1","Standard","yes","1000","In Stock","No","No","","","","","","Publish","Open","0","1","debashish","Administrator"
"","","1676","sku_002","Full Sleeve T-shirt (Armani)","Full Sleeve T-shirt (Armani)","full-sleeve-t-shirt-armani","http://unihawker.com/product/full-sleeve-t-shirt-armani/","http://unihawker.com/product/full-sleeve-t-shirt-armani/","<span style=""font-weight: 400;"">100% cotton; GSM 170+</span>","","08/04/2019","08/04/2019","Simple Product","Shop and search results","Yes","No","No","3.29","","","","","","","","","","","","Clothing","","http://unihawker.com/wp-content/uploads/2019/04/1-2.jpg",,"Taxable","","","","","-1","-1","Standard","yes","1000","In Stock","No","No","","","","","","Publish","Open","0","1","debashish","Administrator"
"","","1673","sku_001","Half Sleeve T-shirt (Armani)","Half Sleeve T-shirt (Armani)","t-shirt-armani","http://unihawker.com/product/t-shirt-armani/","http://unihawker.com/product/t-shirt-armani/","<span style=""font-weight: 400;"">100% cotton, GSM 170+</span>","","08/04/2019","08/04/2019","Simple Product","Shop and search results","Yes","No","No","3.29","","","","","","","","","","","","Clothing","","http://unihawker.com/wp-content/uploads/2019/04/1-1.jpg",,"Taxable","","","","","-1","-1","Standard","yes","1000","In Stock","No","No","","","","","","Publish","Open","0","1","debashish","Administrator"
"","","1583","","Wallet Topup","Wallet Topup","wallet-topup","http://unihawker.com/product/wallet-topup/","http://unihawker.com/product/wallet-topup/","Auto generated product for wallet recharge please do not delete or update.","","27/12/2018","27/12/2018","Simple Product","Hidden","No","Yes","No","","","","","","","","","","","","","Uncategorized","","",,"Taxable","","","","","-1","-1","Standard","no","","In Stock","No","Yes","","","","","","Private","Closed","0","1","debashish","Administrator"
"1421","PT0003-2","1429","","Product Left-Sidebar &#8211; Indigo, Extra Large","Product Left-Sidebar - Indigo, Extra Large","silver-porto-headset-indigo-extra-large__trashed",,"http://unihawker.com/product/silver-porto-headset__trashed/?attribute_pa_color=indigo&attribute_pa_size=extra-large-2","","","09/04/2018","08/04/2019","Variation","Shop and search results","No","No","No","49","","","","","","","","","","","","Uncategorized","","",,"Taxable","parent","","","","0","0","Standard","no","","In Stock","No","No","","","","","","Trash","Closed","1","1","debashish","Administrator"
"1421","PT0003-2","1428","","Product Left-Sidebar &#8211; Red, Medium","Product Left-Sidebar - Red, Medium","silver-porto-headset-red-medium__trashed",,"http://unihawker.com/product/silver-porto-headset__trashed/?attribute_pa_color=red&attribute_pa_size=medium-2","","","09/04/2018","08/04/2019","Variation","Shop and search results","No","No","No","49","","","","","","","","","","","","Uncategorized","","",,"Taxable","parent","","","","0","0","Standard","no","","In Stock","No","No","","","","","","Trash","Closed","3","1","debashish","Administrator"
"1369","PT0002","1427","","Porto Sports Shoes &#8211; Blue, Extra Large","Porto Sports Shoes - Blue, Extra Large","porto-sports-shoes-blue-extra-large__trashed",,"http://unihawker.com/product/porto-sports-shoes__trashed/?attribute_pa_color=blue&attribute_pa_size=extra-large-2","","","09/04/2018","08/04/2019","Variation","Shop and search results","No","No","No","","","","","","","","","","","","","Uncategorized","","",,"Taxable","parent","","","","0","0","Standard","no","","In Stock","No","No","","","","","","Trash","Closed","0","1","debashish","Administrator"
"1369","PT0002","1426","","Porto Sports Shoes &#8211; Light-Blue, Extra Large","Porto Sports Shoes - Light-Blue, Extra Large","porto-sports-shoes-light-blue-extra-large__trashed",,"http://unihawker.com/product/porto-sports-shoes__trashed/?attribute_pa_color=light-blue&attribute_pa_size=extra-large-2","","","09/04/2018","08/04/2019","Variation","Shop and search results","No","No","No","","","","","","","","","","","","","Uncategorized","","",,"Taxable","parent","","","","0","0","Standard","no","","In Stock","No","No","","","","","","Trash","Closed","0","1","debashish","Administrator"
"1421","PT0003-2","1425","","Product Left-Sidebar &#8211; Red, Large","Product Left-Sidebar - Red, Large","silver-porto-headset-red-large__trashed",,"http://unihawker.com/product/silver-porto-headset__trashed/?attribute_pa_color=red&attribute_pa_size=large-2","","","09/04/2018","08/04/2019","Variation","Shop and search results","No","No","No","49","","","","","","","","","","","","Uncategorized","","",,"Taxable","parent","","","","0","0","Standard","no","","In Stock","No","No","","","","","","Trash","Closed","6","1","debashish","Administrator"
"1421","PT0003-2","1424","","Product Left-Sidebar &#8211; Blue, Large","Product Left-Sidebar - Blue, Large","silver-porto-headset-blue-large__trashed",,"http://unihawker.com/product/silver-porto-headset__trashed/?attribute_pa_color=blue&attribute_pa_size=large-2","","","09/04/2018","08/04/2019","Variation","Shop and search results","No","No","No","49","","","","","","","","","","","","Uncategorized","","",,"Taxable","parent","","","","0","0","Standard","no","","In Stock","No","No","","","","","","Trash","Closed","5","1","debashish","Administrator"
"1421","PT0003-2","1423","","Product Left-Sidebar &#8211; Black, Large","Product Left-Sidebar - Black, Large","silver-porto-headset-black-large__trashed",,"http://unihawker.com/product/silver-porto-headset__trashed/?attribute_pa_color=black&attribute_pa_size=large-2","","","09/04/2018","08/04/2019","Variation","Shop and search results","No","No","No","49","","","","","","","","","","","","Uncategorized","","",,"Taxable","parent","","","","0","0","Standard","no","","In Stock","No","No","","","","","","Trash","Closed","4","1","debashish","Administrator"
"1421","PT0003-2","1422","","Product Left-Sidebar &#8211; Light-Blue, Small","Product Left-Sidebar - Light-Blue, Small","silver-porto-headset-light-blue-small__trashed",,"http://unihawker.com/product/silver-porto-headset__trashed/?attribute_pa_color=light-blue&attribute_pa_size=small-2","","","09/04/2018","08/04/2019","Variation","Shop and search results","No","No","No","49","","","","","","","","","","","","Uncategorized","","",,"Taxable","parent","","","","0","0","Standard","no","","In Stock","No","No","","","","","","Trash","Closed","1","1","debashish","Administrator"
"","","1421","PT0003-2","Product Left-Sidebar","Product Left-Sidebar","silver-porto-headset__trashed","http://unihawker.com/product/silver-porto-headset__trashed/","http://unihawker.com/product/silver-porto-headset__trashed/","[vc_row el_class=""m-b-md""][vc_column][vc_column_text]Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat.[/vc_column_text][/vc_column][/vc_row][vc_row][vc_column width=""2/3"" offset=""vc_col-lg-6 vc_col-md-7""][vc_column_text]Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore.[/vc_column_text][porto_info_list icon_color=""#21293c"" font_size_icon=""16""][porto_info_list_item list_icon=""fa fa-check-circle"" desc_font_size=""14""]Any Product types that You want - Simple, Configurable[/porto_info_list_item][porto_info_list_item list_icon=""fa fa-check-circle"" desc_font_size=""14""]Downloadable/Digital Products, Virtual Products[/porto_info_list_item][porto_info_list_item list_icon=""fa fa-check-circle"" desc_font_size=""14""]Inventory Management with Backordered items[/porto_info_list_item][/porto_info_list][/vc_column][vc_column width=""1/3"" offset=""vc_col-lg-6 vc_col-md-5""][vc_single_image image=""1476"" img_size=""full"" alignment=""center""][/vc_column][/vc_row][vc_row el_class=""m-b-md"" css="".vc_custom_1519368676441{margin-top: 20px !important;margin-bottom: 50px !important;}""][vc_column width=""1/3""][porto_info_box icon=""fa fa-star"" icon_size=""28"" icon_color=""#29363c"" icon_style=""advanced"" icon_border_style=""solid"" icon_color_border=""#29363c"" icon_border_size=""2"" icon_border_radius=""60"" icon_border_spacing=""60"" title=""DEDICATED SERVICE"" pos=""top"" title_font_style=""700"" title_font_size=""14"" title_font_line_height=""22"" title_font_color=""#2b2b2d"" desc_font_size=""14"" desc_font_line_height=""27"" desc_font_color=""#4a505e""]Consult our specialists for help with an order, customization, or design advice[/porto_info_box][/vc_column][vc_column width=""1/3""][porto_info_box icon=""fa fa-reply"" icon_size=""28"" icon_color=""#29363c"" icon_style=""advanced"" icon_border_style=""solid"" icon_color_border=""#29363c"" icon_border_size=""2"" icon_border_radius=""60"" icon_border_spacing=""60"" title=""FREE RETURNS"" pos=""top"" title_font_style=""700"" title_font_size=""14"" title_font_line_height=""22"" title_font_color=""#2b2b2d"" desc_font_size=""14"" desc_font_line_height=""27"" desc_font_color=""#4a505e""]Consult our specialists for help with an order, customization, or design advice[/porto_info_box][/vc_column][vc_column width=""1/3""][porto_info_box icon=""fa fa-paper-plane"" icon_size=""28"" icon_color=""#29363c"" icon_style=""advanced"" icon_border_style=""solid"" icon_color_border=""#29363c"" icon_border_size=""2"" icon_border_radius=""60"" icon_border_spacing=""60"" title=""INTERNATIONAL SHIPPING"" pos=""top"" title_font_style=""700"" title_font_size=""14"" title_font_line_height=""22"" title_font_color=""#2b2b2d"" desc_font_size=""14"" desc_font_line_height=""27"" desc_font_color=""#4a505e""]Consult our specialists for help with an order, customization, or design advice[/porto_info_box][/vc_column][/vc_row][vc_row][vc_column][vc_column_text]Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore.Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore.[/vc_column_text][/vc_column][/vc_row]","Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non.","09/04/2018","08/04/2019","Variable","Shop and search results","No","No","No","49","","","","","","","","","","","","Uncategorized","","http://unihawker.com/wp-content/uploads/2018/04/2.jpg","1408|1406|1405","Taxable","","","","","0","0","Standard","no","","In Stock","No","No","","","","","","Trash","Open","0","1","debashish","Administrator"
"1416","PT0007","1420","","Product Wide Grid &#8211; Red, Small","Product Wide Grid - Red, Small","porto-evolution-headset-red-small-2__trashed",,"http://unihawker.com/product/porto-evolution-headset-3__trashed/?attribute_pa_color=red&attribute_pa_size=small-2","","","09/04/2018","08/04/2019","Variation","Shop and search results","No","No","No","149","","","","","","","","","","","","Uncategorized","","",,"Taxable","parent","","","","0","0","Standard","no","0","In Stock","No","No","","","","","","Trash","Closed","4","1","debashish","Administrator"
"1416","PT0007","1419","","Product Wide Grid &#8211; Black, Extra Large","Product Wide Grid - Black, Extra Large","porto-evolution-headset-black-extra-large-3__trashed",,"http://unihawker.com/product/porto-evolution-headset-3__trashed/?attribute_pa_color=black&attribute_pa_size=extra-large-2","","","09/04/2018","08/04/2019","Variation","Shop and search results","No","No","No","149","","","","","","","","","","","","Uncategorized","","",,"Taxable","parent","","","","0","0","Standard","no","0","In Stock","No","No","","","","","","Trash","Closed","3","1","debashish","Administrator"
"1416","PT0007","1418","","Product Wide Grid &#8211; Blue, Large","Product Wide Grid - Blue, Large","porto-evolution-headset-silver-large-3__trashed",,"http://unihawker.com/product/porto-evolution-headset-3__trashed/?attribute_pa_color=blue&attribute_pa_size=large-2","","","09/04/2018","08/04/2019","Variation","Shop and search results","No","No","No","149","","","","","","","","","","","","Uncategorized","","",,"Taxable","parent","","","","0","0","Standard","no","0","In Stock","No","No","","","","","","Trash","Closed","2","1","debashish","Administrator"
"1416","PT0007","1417","","Product Wide Grid &#8211; Black, Medium","Product Wide Grid - Black, Medium","porto-evolution-headset-black-medium-3__trashed",,"http://unihawker.com/product/porto-evolution-headset-3__trashed/?attribute_pa_color=black&attribute_pa_size=medium-2","","","09/04/2018","08/04/2019","Variation","Shop and search results","No","No","No","149","","","","","","","","","","","","Uncategorized","","",,"Taxable","parent","","","","0","0","Standard","no","0","In Stock","No","No","","","","","","Trash","Closed","1","1","debashish","Administrator"
